act,scene,anchor_a,anchor_b,gap,boundaries_between,excess,closes,boundary_position,boundary_n,leads_into
1,4,49,60,11,12,1,no,6,,Taken as seen; for Pompey's name strikes more
1,4,49,60,11,12,1,no,7,,Than could his war resisted.
1,4,49,60,11,12,1,no,8,,"Antony,"
1,4,49,60,11,12,1,no,9,,Leave thy lascivious wassails. When thou once
1,4,49,60,11,12,1,no,10,,"Wast beaten from Modena, where thou slew'st"
1,4,49,60,11,12,1,no,11,,"Hirtius and Pansa, consuls, at thy heel"
1,4,49,60,11,12,1,no,12,60,"Did famine follow; whom thou fought'st against,"
1,4,60,70,10,10,0,yes,,,
1,4,70,80,10,12,2,no,1,,"Was borne so like a soldier, that thy cheek"
1,4,70,80,10,12,2,no,2,,So much as lank'd not.
1,4,70,80,10,12,2,no,3,,'Tis pity of him.
1,4,70,80,10,12,2,no,4,,Let his shames quickly
1,4,70,80,10,12,2,no,5,,Drive him to Rome: 'tis time we twain
1,4,70,80,10,12,2,no,6,,Did show ourselves i' the field; and to that end
1,4,70,80,10,12,2,no,7,,Assemble we immediate council: Pompey
1,4,70,80,10,12,2,no,8,,Thrives in our idleness.
1,4,70,80,10,12,2,no,9,,"To-morrow, Cæsar,"
1,4,70,80,10,12,2,no,10,,I shall be furnish'd to inform you rightly
1,4,70,80,10,12,2,no,11,,Both what by sea and land I can be able
1,4,70,80,10,12,2,no,12,80,To front this present time.
1,5,10,20,10,11,1,no,1,,"In aught an eunuch has: 'tis well for thee,"
1,5,10,20,10,11,1,no,2,,"That, being unseminar'd, thy freer thoughts"
1,5,10,20,10,11,1,no,3,,May not fly forth of Egypt. Hast thou affections ?
1,5,10,20,10,11,1,no,4,,"Yes, gracious madam."
1,5,10,20,10,11,1,no,5,,Indeed !
1,5,10,20,10,11,1,no,6,,"Not in deed, madam; for I can do nothing"
1,5,10,20,10,11,1,no,7,,But what indeed is honest to be done:
1,5,10,20,10,11,1,no,8,,"Yet have I fierce affections, and think"
1,5,10,20,10,11,1,no,9,,What Venus did with Mars.
1,5,10,20,10,11,1,no,10,,"O Charmian,"
1,5,10,20,10,11,1,no,11,20,"Where think'st thou he is now ? Stands he, or sits he ?"
1,5,20,30,10,10,0,yes,,,
1,5,30,41,11,12,1,no,1,,"When thou wast here above the ground, I was"
1,5,30,41,11,12,1,no,2,,A morsel for a monarch: and great Pompey
1,5,30,41,11,12,1,no,3,,Would stand and make his eyes grow in my brow;
1,5,30,41,11,12,1,no,4,,There would he anchor his aspect and die
1,5,30,41,11,12,1,no,5,,With looking on his life.
1,5,30,41,11,12,1,no,6,,"Sovereign of Egypt, hail !"
1,5,30,41,11,12,1,no,7,,How much unlike art thou Mark Antony !
